id,Дата,UserID,Продукт,Количество,Цена
0,2024-05-14,9935,Smartwatch,7,70.9
1,2024-02-25,9677,Smartwatch,3,70.34
2,2023-09-26,4038,Laptop,5,95.57
3,2024-01-01,2219,Tablet,4,62.73
4,2024-01-13,7681,Laptop,9,20.33
5,2024-03-25,5487,Headphones,4,31.28
6,2024-03-04,6796,Headphones,6,81.2
7,2023-08-08,5710,Smartphone,6,14.64
8,2023-11-24,4847,Smartwatch,0,75.59
9,2024-06-01,9085,Tablet,9,89.92
10,2024-01-23,4971,Headphones,8,64.27
11,2024-05-16,2894,Smartwatch,2,25.16
12,2023-10-25,3022,Headphones,4,65.21
13,2023-07-22,6042,Tablet,6,8.43
14,2023-10-06,5421,Tablet,8,94.43
15,2023-12-16,2948,Laptop,3,52.34
16,2024-05-02,3204,Smartphone,9,45.8
17,2023-08-15,1246,Laptop,6,68.27
18,2023-09-01,4223,Tablet,9,51.58
19,2024-04-03,6982,Smartphone,6,29.74
20,2024-05-28,3969,Laptop,5,34.02
21,2023-10-03,6307,Tablet,7,67.99
22,2023-10-19,4360,Laptop,8,46.31
23,2023-08-10,9227,Headphones,3,45.58
24,2023-12-01,4437,Headphones,1,62.33
25,2024-02-02,9862,Laptop,0,77.04
26,2023-09-12,7848,Smartphone,8,26.02
27,2024-03-04,7940,Smartwatch,4,63.18
28,2023-12-07,9953,Smartwatch,4,20.72
29,2024-06-16,6444,Headphones,7,49.19
30,2024-02-06,1228,Laptop,8,29.34
31,2024-01-16,9776,Smartphone,0,86.85
32,2024-04-16,9508,Headphones,7,64.39
33,2024-07-02,6260,Headphones,8,74.11
34,2023-08-08,3614,Smartwatch,9,48.52
35,2024-03-10,3140,Smartphone,7,74.43
36,2024-06-01,6572,Smartwatch,8,95.29
37,2024-01-26,9904,Smartwatch,4,8.55
38,2023-11-21,3043,Smartphone,3,30.66
39,2024-05-20,7147,Tablet,8,40.91
40,2024-01-03,1857,Laptop,4,9.53
41,2023-08-22,4344,Laptop,3,7.05
42,2023-12-27,4147,Headphones,1,35.78
43,2023-11-03,1929,Smartwatch,1,40.66
44,2023-07-22,4740,Smartwatch,1,21.59
45,2024-03-03,6281,Laptop,1,82.49
46,2024-05-06,7336,Smartphone,4,31.37
47,2024-03-27,8580,Laptop,6,70.28
48,2024-04-07,2767,Smartphone,7,43.55
49,2024-01-25,6073,Tablet,4,29.09
50,2023-09-26,4905,Smartwatch,5,27.4
51,2024-03-28,9227,Smartphone,9,30.17
52,2023-08-06,3156,Smartphone,0,20.82
53,2023-10-30,7856,Smartwatch,3,99.13
54,2024-02-10,7211,Smartphone,6,61.23
55,2024-03-09,5613,Headphones,0,14.62
56,2024-07-04,2626,Tablet,0,91.7
57,2023-09-28,7525,Laptop,9,62.96
58,2024-07-12,1105,Tablet,8,3.35
59,2023-12-02,2775,Smartphone,7,94.51
60,2023-11-05,5201,Laptop,6,70.21
61,2023-12-19,1085,Laptop,2,58.49
62,2023-09-13,8186,Smartphone,7,73.53
63,2024-04-28,6330,Headphones,9,25.49
64,2024-03-03,8084,Smartphone,5,61.03
65,2024-05-30,3113,Smartwatch,0,55.14
66,2023-10-13,9560,Laptop,7,67.28
67,2023-10-25,7161,Headphones,5,4.52
68,2023-09-03,9764,Smartphone,1,6.02
69,2024-05-09,7885,Tablet,7,79.96
70,2024-04-04,8179,Headphones,2,59.17
71,2023-08-15,5758,Smartphone,9,45.73
72,2024-01-18,6056,Tablet,3,27.25
73,2024-04-12,1209,Headphones,5,15.34
74,2023-08-17,4943,Laptop,3,25.65
75,2023-11-25,4122,Headphones,8,20.67
76,2024-06-17,9294,Laptop,0,59.61
77,2024-02-14,8195,Laptop,9,83.74
78,2023-09-07,4150,Smartwatch,7,2.53
79,2023-11-02,1368,Laptop,8,7.26
80,2023-11-13,1713,Smartphone,4,38.09
81,2023-11-09,5320,Headphones,5,24.21
82,2024-01-08,4215,Smartwatch,3,73.4
83,2024-07-03,2780,Tablet,9,89.17
84,2024-03-23,1166,Smartphone,8,38.72
85,2024-06-04,5983,Headphones,7,98.91
86,2023-11-14,1740,Smartphone,0,91.79
87,2023-08-06,2909,Tablet,7,4.46
88,2023-10-10,8766,Tablet,8,63.1
89,2023-07-18,2579,Laptop,3,25.04
90,2024-01-22,2881,Tablet,9,27.23
91,2024-05-14,6884,Smartwatch,8,10.92
92,2024-07-06,2276,Tablet,9,2.12
93,2024-07-09,4273,Tablet,0,35.78
94,2023-09-22,3320,Smartphone,4,26.67
95,2024-04-03,3117,Tablet,7,40.94
96,2024-02-12,8122,Smartphone,9,77.8
97,2023-09-26,3855,Headphones,4,46.19
98,2023-11-21,5239,Smartphone,8,9.52
99,2024-04-29,9863,Smartwatch,3,35.51
100,2023-12-06,1602,Laptop,3,29.39
101,2023-08-30,9992,Smartwatch,0,98.11
102,2023-10-29,7431,Smartphone,0,15.88
103,2024-03-31,9298,Smartwatch,1,32.91
104,2024-04-28,4593,Tablet,5,52.04
105,2024-03-17,6978,Smartphone,6,45.7
106,2023-11-21,8670,Tablet,5,24.32
107,2023-11-01,2287,Tablet,0,10.54
108,2023-10-12,8893,Smartphone,9,69.1
109,2023-11-26,3548,Tablet,7,35.05
110,2023-08-21,1878,Smartwatch,9,57.49
111,2023-08-17,2681,Headphones,1,87.39
112,2023-09-01,4561,Tablet,6,69.56
113,2023-10-23,4588,Smartphone,6,38.78
114,2024-01-27,4321,Smartwatch,0,84.51
115,2023-12-26,1136,Laptop,3,44.73
116,2023-08-21,7514,Headphones,1,84.42
117,2023-11-13,7438,Smartphone,4,82.83
118,2024-03-14,6911,Smartwatch,8,67.18
119,2023-11-01,4386,Laptop,0,6.69
120,2024-03-31,4541,Headphones,0,13.81
121,2023-12-08,1382,Laptop,6,90.57
122,2023-10-15,7489,Smartphone,5,67.47
123,2023-10-30,8320,Tablet,9,82.9
124,2023-09-11,2255,Tablet,7,19.56
125,2024-05-08,7342,Laptop,1,68.39
126,2024-06-17,4857,Smartphone,8,97.08
127,2024-04-18,1458,Smartwatch,4,32.79
128,2023-12-24,4438,Smartphone,7,18.82
129,2024-01-13,7691,Headphones,3,28.66
130,2023-12-04,5132,Smartwatch,5,42.51
131,2024-04-15,5905,Smartwatch,8,37.14
132,2024-01-06,2093,Smartwatch,3,52.68
133,2024-01-14,2718,Smartwatch,5,60.37
134,2023-11-03,9877,Tablet,7,91.36
135,2023-12-26,6426,Headphones,9,45.08
136,2023-09-16,9112,Smartphone,0,97.02
137,2023-08-30,8060,Smartwatch,9,61.47
138,2024-01-09,2798,Headphones,5,23.02
139,2024-04-16,9038,Headphones,4,40.85
140,2024-01-29,1005,Smartphone,3,2.92
141,2023-08-17,8827,Headphones,0,0.07
142,2023-12-18,3116,Smartwatch,0,55.81
143,2023-09-07,5347,Headphones,8,0.01
144,2024-04-20,2741,Smartwatch,4,8.7
145,2023-12-08,5597,Tablet,8,44.42
146,2023-11-13,4978,Tablet,3,34.01
147,2024-06-15,9048,Laptop,5,31.01
148,2023-09-24,3641,Smartphone,6,80.33
149,2024-05-06,7798,Smartwatch,2,63.65
150,2023-09-02,8289,Headphones,5,43.58
151,2023-11-26,4427,Smartwatch,6,28.37
152,2024-02-04,9177,Laptop,2,58.34
153,2023-11-25,8212,Smartphone,0,57.78
154,2023-12-22,9483,Smartphone,6,23.57
155,2023-08-03,4662,Laptop,1,59.38
156,2023-11-17,8118,Laptop,0,26.59
157,2023-09-16,9985,Headphones,6,84.47
158,2023-12-09,3413,Headphones,3,80.59
159,2024-04-01,5015,Smartwatch,3,13.69
160,2023-09-27,4708,Tablet,2,63.24
161,2024-04-10,9772,Smartphone,1,34.99
162,2023-11-20,2826,Laptop,1,8.25
163,2024-06-19,4839,Smartphone,9,53.11
164,2024-05-27,3250,Smartphone,4,74.98
165,2023-10-13,3600,Smartwatch,3,50.0
166,2024-05-04,7539,Smartphone,0,72.75
167,2023-12-20,8162,Smartphone,9,10.18
168,2024-04-23,2361,Smartwatch,3,16.97
169,2023-11-27,5480,Tablet,8,74.1
170,2023-12-10,8804,Tablet,9,12.4
171,2023-08-15,6278,Smartphone,9,55.33
172,2023-08-29,2266,Smartphone,1,1.18
173,2023-12-11,3297,Tablet,8,83.16
174,2023-11-19,6145,Headphones,1,52.56
175,2023-09-13,2558,Laptop,0,48.07
176,2023-11-18,7216,Smartwatch,0,96.99
